S.N.,Stock Name,Stock Symbol,Sector,Total Shares
83,Corporate Development Bank Limited,CORBL,Development Banks,"5,000,000.00"
84,Crystal Finance Ltd.,CFL,Finance,"700,000.00"
85,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL,Microfinance,"1,216,418.00"
86,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,Microfinance,"13,874,984.00"
87,Dibyashwori Hydropower Ltd.,DHPL,Hydro Power,"2,640,000.00"
88,Emerging Nepal Limited,ENL,Investment,"5,556,000.00"
89,Everest Bank Limited,EBL,Commercial Banks,"94,273,403.00"
90,Everest Bank Limited Con. Pref.,EBLCP,Preferred Stock,"2,000,000.00"
91,Everest Insurance Co. Ltd.,EIC,Non Life Insurance,"12,546,207.00"
92,Excel Development Bank Ltd.,EDBL,Development Banks,"11,517,922.00"
93,First Micro Finance Laghubitta Bittiya Sanstha Limited,FMDBL,Microfinance,"9,644,924.00"
94,Fleur Himalayan Limited,FHL,Manufacturing And Processing,"262,102.00"
95,Forward Microfinance Laghubitta Bittiya Sanstha Limited,FOWAD,Microfinance,"8,444,511.00"
96,Ganapati Laghubitta Bittiya Sanstha Limited,GMFBS,Microfinance,"1,515,546.00"
97,Gandaki Bikas Bank Limited,GDBL,Development Banks,"27,499,993.00"
98,Garima Bikas Bank Limited,GBBL,Development Banks,"45,798,924.00"
99,"Garima Debenture, 2085",GBBD85,Corporate Debenture,0.00
100,General Insurance Company Nepal Ltd,GIC,Non Life Insurance,"10,000,000.00"
101,Ghalemdi Hydro Limited,GHL,Hydro Power,"5,500,000.00"
102,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,GGBSL,Microfinance,"276,250.00"
103,Global IME Bank Limited,GBIME,Commercial Banks,"237,957,535.00"
104,Global IME Bank Limited Debenture 2086/87,GBILD86/87,Corporate Debenture,0.00
105,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Microfinance,"5,525,894.00"
106,Global IME Samunnat Scheme-1,GIMES1,Mutual Fund,"100,000,000.00"
107,Goodwill Finance Limited,GFCL,Finance,"9,461,152.00"
108,Gorakhkali Rubber Udhyog Limited,GRU,Manufacturing And Processing,"3,833,400.00"
109,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Microfinance,"9,825,000.00"
110,Green Development Bank Ltd.,GRDBL,Development Banks,"5,190,000.00"
111,Green Ventures Limited,GVL,Hydro Power,"31,250,000.00"
112,GreenLife Hydropower Limited,GLH,Hydro Power,"18,000,000.00"
113,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,Finance,"9,504,000.00"
114,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,Microfinance,"975,000.00"
115,Gurans Life Insurance Company Ltd.,GLICL,Life Insurance,"20,842,500.00"
116,Gurkhas Finance Ltd.,GUFL,Finance,"8,679,937.00"
117,Hamro Bikas Bank Ltd.,HAMRO,Development Banks,"4,922,395.00"
118,Harisiddhi Brick And Tiles Limited,HBT,Manufacturing And Processing,"18,650,000.00"
119,Hathway Finance Company Limited,HATH,Finance,"3,000,000.00"
120,Himal Dolakha Hydropower Company Limited,HDHPC,Hydro Power,"16,000,000.00"
